customer_id,name,email,country,created_at
C0035,Customer_35,customer_35@corp.com,India,2023-11-04
C0036,Customer_36,customer_36@supplyco.com,Germany,2022-08-25
C0037,Customer_37,customer_37@logistics.com,UK,2022-06-04
C0038,Customer_38,customer_38@supplyco.com,India,2022-05-25
C0039,Customer_39,customer_39@logistics.com,USA,2022-04-22
C0040,Customer_40,customer_40@corp.com,Vietnam,2023-02-08
C0041,Customer_41,customer_41@example.com,China,2023-06-17
C0042,Customer_42,customer_42@example.com,UK,2024-09-16
C0043,Customer_43,customer_43@corp.com,UK,2022-08-02
C0044,Customer_44,customer_44@logistics.com,China,2023-04-17
C0045,Customer_45,customer_45@logistics.com,USA,2024-07-30
C0046,Customer_46,customer_46@logistics.com,Germany,2022-12-08
C0047,Customer_47,customer_47@logistics.com,Italy,2024-04-30
C0048,Customer_48,customer_48@logistics.com,Vietnam,2022-05-21
C0049,Customer_49,customer_49@logistics.com,Germany,2023-04-06
C0050,Customer_50,customer_50@logistics.com,UK,2022-07-31
C0051,Customer_51,customer_51@example.com,India,2022-12-23
C0052,Customer_52,customer_52@logistics.com,India,2024-03-17
C0053,Customer_53,customer_53@supplyco.com,USA,2024-08-12
C0054,Customer_54,customer_54@supplyco.com,Germany,2024-06-25
C0055,Customer_55,customer_55@example.com,Vietnam,2022-07-29
C0056,Customer_56,customer_56@example.com,Egypt,2022-10-13
C0057,Customer_57,customer_57@corp.com,Italy,2024-11-15
C0058,Customer_58,customer_58@logistics.com,Turkey,2024-08-10
C0059,Customer_59,customer_59@corp.com,UK,2024-09-19
C0060,Customer_60,customer_60@logistics.com,Italy,2024-03-13
C0061,Customer_61,customer_61@logistics.com,Vietnam,2022-04-21
C0062,Customer_62,customer_62@example.com,France,2022-09-08
C0063,Customer_63,customer_63@supplyco.com,Italy,2023-08-15
C0064,Customer_64,customer_64@example.com,USA,2022-06-22
C0065,Customer_65,customer_65@corp.com,UK,2024-07-22
C0066,Customer_66,customer_66@supplyco.com,Vietnam,2024-12-22
C0067,Customer_67,customer_67@corp.com,Vietnam,2023-05-14
C0068,Customer_68,customer_68@corp.com,UK,2023-09-18
C0069,Customer_69,customer_69@example.com,France,2023-03-10
C0070,Customer_70,customer_70@corp.com,Egypt,2024-10-08
C0071,Customer_71,customer_71@corp.com,UK,2024-01-06
C0072,Customer_72,customer_72@example.com,India,2022-09-27
C0073,Customer_73,customer_73@logistics.com,Vietnam,2023-03-12
C0074,Customer_74,customer_74@supplyco.com,Turkey,2024-11-21
C0075,Customer_75,customer_75@logistics.com,France,2022-04-13
C0076,Customer_76,customer_76@logistics.com,UK,2023-08-15
C0077,Customer_77,customer_77@logistics.com,India,2022-04-28
C0078,Customer_78,customer_78@corp.com,Vietnam,2024-09-20
C0079,Customer_79,customer_79@example.com,China,2024-04-20
C0080,Customer_80,customer_80@corp.com,Egypt,2023-05-05
C0081,Customer_81,customer_81@logistics.com,Germany,2023-09-01
C0082,Customer_82,customer_82@logistics.com,France,2023-11-10
C0083,Customer_83,customer_83@corp.com,USA,2024-10-30
C0084,Customer_84,customer_84@example.com,India,2024-06-07
C0085,Customer_85,customer_85@supplyco.com,UK,2024-01-16
C0086,Customer_86,customer_86@example.com,France,2024-06-25
C0087,Customer_87,customer_87@logistics.com,India,2024-09-16
C0088,Customer_88,customer_88@corp.com,Germany,2023-02-12
C0089,Customer_89,customer_89@logistics.com,France,2023-09-10
C0090,Customer_90,customer_90@corp.com,France,2024-09-16
C0091,Customer_91,customer_91@supplyco.com,France,2022-06-07
C0092,Customer_92,customer_92@logistics.com,France,2024-09-27
C0093,Customer_93,customer_93@supplyco.com,Italy,2023-04-18
C0094,Customer_94,customer_94@corp.com,India,2023-03-30
C0095,Customer_95,customer_95@corp.com,China,2022-11-03
C0096,Customer_96,customer_96@example.com,Vietnam,2023-05-26
C0097,Customer_97,customer_97@supplyco.com,Turkey,2023-11-10
C0098,Customer_98,customer_98@logistics.com,China,2023-11-28
C0099,Customer_99,customer_99@example.com,China,2023-02-09
C0100,Customer_100,customer_100@logistics.com,Egypt,2024-04-20
